sku,brand,brand_tier,category,product_name,variant,pack_size,price_idr,launch_year,is_flagship
COL-PER-ANT-606,Colgate,premium,Personal Care,Colgate Personal Care Anti-Aging,Anti-Aging,100ml,27673,2021,False
COL-PER-NAT-568,Colgate,premium,Personal Care,Colgate Personal Care Natural,Natural,250ml,57308,2018,True
COL-PER-REG-195,Colgate,premium,Personal Care,Colgate Personal Care Regular,Regular,200ml,38351,2024,False
JOH-PER-SEN-942,Johnson & Johnson,mass,Personal Care,Johnson & Johnson Personal Care Sensitive,Sensitive,300ml,18938,2022,False
JOH-PER-NAT-697,Johnson & Johnson,mass,Personal Care,Johnson & Johnson Personal Care Natural,Natural,150ml,10135,2022,False
JOH-PER-NAT-526,Johnson & Johnson,mass,Personal Care,Johnson & Johnson Personal Care Natural,Natural,150ml,12517,2019,False
MUS-PER-REG-126,Mustika Ratu,mass,Personal Care,Mustika Ratu Personal Care Regular,Regular,200ml,19315,2023,False
MUS-PER-REG-482,Mustika Ratu,mass,Personal Care,Mustika Ratu Personal Care Regular,Regular,250ml,29344,2018,False
MUS-PER-WHI-129,Mustika Ratu,mass,Personal Care,Mustika Ratu Personal Care Whitening,Whitening,150ml,12656,2021,False
MUS-PER-ANT-743,Mustika Ratu,mass,Personal Care,Mustika Ratu Personal Care Anti-Aging,Anti-Aging,250ml,18825,2022,False
MUS-PER-REG-144,Mustika Ratu,mass,Personal Care,Mustika Ratu Personal Care Regular,Regular,200ml,24847,2020,False
MON-SNA-BBQ-920,Mondelez,mass,Snacks,Mondelez Snacks BBQ,BBQ,50g,19271,2020,False
MON-SNA-ORI-660,Mondelez,mass,Snacks,Mondelez Snacks Original,Original,50g,29735,2021,False
MON-SNA-ORI-361,Mondelez,mass,Snacks,Mondelez Snacks Original,Original,150g,15833,2019,False
KAL-DAI-FUL-972,Kalbe,premium,Dairy,Kalbe Dairy Full Cream,Full Cream,125ml,38646,2019,False
KAL-DAI-STR-762,Kalbe,premium,Dairy,Kalbe Dairy Strawberry,Strawberry,250ml,74319,2023,True
KAL-DAI-FUL-602,Kalbe,premium,Dairy,Kalbe Dairy Full Cream,Full Cream,250ml,53335,2023,False
KAL-DAI-VAN-467,Kalbe,premium,Dairy,Kalbe Dairy Vanilla,Vanilla,200ml,68615,2018,False
KAL-DAI-VAN-601,Kalbe,premium,Dairy,Kalbe Dairy Vanilla,Vanilla,200ml,54192,2021,False
ULT-DAI-VAN-533,Ultra Milk,premium,Dairy,Ultra Milk Dairy Vanilla,Vanilla,1L,30912,2024,False
ULT-DAI-CHO-290,Ultra Milk,premium,Dairy,Ultra Milk Dairy Chocolate,Chocolate,1L,53449,2023,False
ULT-DAI-FUL-625,Ultra Milk,premium,Dairy,Ultra Milk Dairy Full Cream,Full Cream,125ml,47396,2021,True
ULT-DAI-LOW-639,Ultra Milk,premium,Dairy,Ultra Milk Dairy Low Fat,Low Fat,500ml,66258,2023,True
DOV-BEA-CLE-181,Dove,economy,Beauty,Dove Beauty Cleanser,Cleanser,150ml,12825,2020,False
DOV-BEA-NIG-800,Dove,economy,Beauty,Dove Beauty Night Cream,Night Cream,50ml,9921,2024,False
DOV-BEA-NIG-402,Dove,economy,Beauty,Dove Beauty Night Cream,Night Cream,150ml,14314,2018,False
DOV-BEA-MOI-146,Dove,economy,Beauty,Dove Beauty Moisturizer,Moisturizer,30ml,13411,2018,False
MAY-CON-PRE-575,Mayora,premium,Confectionery,Mayora Confectionery Premium,Premium,100g,68309,2023,False
MAY-CON-PRE-699,Mayora,premium,Confectionery,Mayora Confectionery Premium,Premium,200g,30358,2024,True
MAY-CON-REG-777,Mayora,premium,Confectionery,Mayora Confectionery Regular,Regular,500ml,55335,2019,True
MAY-CON-PRE-185,Mayora,premium,Confectionery,Mayora Confectionery Premium,Premium,100g,52279,2023,False
MAY-CON-PRE-841,Mayora,premium,Confectionery,Mayora Confectionery Premium,Premium,500ml,54818,2024,False
ABC-BEV-LIG-316,ABC,premium,Beverages,ABC Beverages Light,Light,350ml,37129,2018,False
ABC-BEV-ORI-647,ABC,premium,Beverages,ABC Beverages Original,Original,1L,26174,2018,False
ABC-BEV-ORI-275,ABC,premium,Beverages,ABC Beverages Original,Original,250ml,67978,2021,False
ABC-BEV-EXT-843,ABC,premium,Beverages,ABC Beverages Extra,Extra,1.5L,56897,2020,False
IND-INS-BEE-228,Indomie,economy,Instant Noodles,Indomie Instant Noodles Beef,Beef,70g,7213,2018,False
IND-INS-CHI-935,Indomie,economy,Instant Noodles,Indomie Instant Noodles Chicken,Chicken,70g,5260,2023,False
IND-INS-CHI-314,Indomie,economy,Instant Noodles,Indomie Instant Noodles Chicken,Chicken,70g,12882,2023,False
IND-INS-CHI-546,Indomie,economy,Instant Noodles,Indomie Instant Noodles Chicken,Chicken,85g,13824,2019,False
IND-INS-ORI-888,Indomie,economy,Instant Noodles,Indomie Instant Noodles Original,Original,90g,12592,2019,False
CLE-PER-ANT-219,Clear,mass,Personal Care,Clear Personal Care Anti-Aging,Anti-Aging,100ml,15442,2019,False
CLE-PER-ANT-582,Clear,mass,Personal Care,Clear Personal Care Anti-Aging,Anti-Aging,250ml,10643,2024,False
CLE-PER-ANT-348,Clear,mass,Personal Care,Clear Personal Care Anti-Aging,Anti-Aging,300ml,16597,2020,False
CLE-PER-NAT-152,Clear,mass,Personal Care,Clear Personal Care Natural,Natural,250ml,20939,2018,False
CLE-PER-REG-525,Clear,mass,Personal Care,Clear Personal Care Regular,Regular,250ml,26243,2023,False
UNI-HOM-REG-509,Unilever,mass,Home Care,Unilever Home Care Regular,Regular,2L,25928,2022,False
UNI-HOM-LAV-337,Unilever,mass,Home Care,Unilever Home Care Lavender,Lavender,2L,11989,2022,False
UNI-HOM-REG-690,Unilever,mass,Home Care,Unilever Home Care Regular,Regular,2L,20349,2022,False
UNI-HOM-REG-763,Unilever,mass,Home Care,Unilever Home Care Regular,Regular,1L,23668,2021,False
YAK-DAI-STR-761,Yakult,economy,Dairy,Yakult Dairy Strawberry,Strawberry,1L,10681,2021,False
YAK-DAI-STR-265,Yakult,economy,Dairy,Yakult Dairy Strawberry,Strawberry,125ml,9718,2023,False
NES-CON-PRE-548,Nestlé,premium,Confectionery,Nestlé Confectionery Premium,Premium,200g,40211,2022,True
NES-CON-SPE-447,Nestlé,premium,Confectionery,Nestlé Confectionery Special,Special,500ml,64459,2024,False
NES-CON-REG-840,Nestlé,premium,Confectionery,Nestlé Confectionery Regular,Regular,200g,71621,2021,False
UNI-HOM-LEM-736,Unilever,premium,Home Care,Unilever Home Care Lemon,Lemon,800ml,38579,2020,True
UNI-HOM-LEM-277,Unilever,premium,Home Care,Unilever Home Care Lemon,Lemon,800ml,38073,2019,False
UNI-HOM-REG-605,Unilever,premium,Home Care,Unilever Home Care Regular,Regular,2L,44900,2019,True
UNI-HOM-LAV-118,Unilever,premium,Home Care,Unilever Home Care Lavender,Lavender,500ml,48513,2020,False
HEA-PER-SEN-132,Head & Shoulders,mass,Personal Care,Head & Shoulders Personal Care Sensitive,Sensitive,300ml,12086,2020,False
HEA-PER-ANT-732,Head & Shoulders,mass,Personal Care,Head & Shoulders Personal Care Anti-Aging,Anti-Aging,100ml,17428,2018,False
HEA-PER-NAT-598,Head & Shoulders,mass,Personal Care,Head & Shoulders Personal Care Natural,Natural,150ml,18448,2020,False
WIN-DET-REG-373,Wings,premium,Detergent,Wings Detergent Regular,Regular,500ml,34907,2024,True
WIN-DET-REG-918,Wings,premium,Detergent,Wings Detergent Regular,Regular,200g,54958,2024,True
WIN-DET-REG-724,Wings,premium,Detergent,Wings Detergent Regular,Regular,500ml,31676,2024,True
WIN-DET-ECO-271,Wings,premium,Detergent,Wings Detergent Eco,Eco,100g,66282,2018,True
KAL-DAI-LOW-825,Kalbe,economy,Dairy,Kalbe Dairy Low Fat,Low Fat,250ml,12233,2024,False
KAL-DAI-VAN-850,Kalbe,economy,Dairy,Kalbe Dairy Vanilla,Vanilla,500ml,6626,2019,False
KAL-DAI-CHO-938,Kalbe,economy,Dairy,Kalbe Dairy Chocolate,Chocolate,250ml,7257,2018,False
KAL-DAI-LOW-525,Kalbe,economy,Dairy,Kalbe Dairy Low Fat,Low Fat,500ml,5107,2019,False
NIV-PER-WHI-617,Nivea,mass,Personal Care,Nivea Personal Care Whitening,Whitening,200ml,15611,2018,False
NIV-PER-WHI-832,Nivea,mass,Personal Care,Nivea Personal Care Whitening,Whitening,200ml,23599,2020,False
NIV-PER-SEN-871,Nivea,mass,Personal Care,Nivea Personal Care Sensitive,Sensitive,150ml,27355,2021,False
NIV-PER-SEN-921,Nivea,mass,Personal Care,Nivea Personal Care Sensitive,Sensitive,150ml,24051,2021,False
NIV-PER-ANT-972,Nivea,mass,Personal Care,Nivea Personal Care Anti-Aging,Anti-Aging,250ml,26913,2024,False
PEP-SNA-ORI-249,PepsiCo,mass,Snacks,PepsiCo Snacks Original,Original,150g,10325,2023,False
PEP-SNA-FAM-186,PepsiCo,mass,Snacks,PepsiCo Snacks Family Pack,Family Pack,50g,21085,2020,False
PEP-SNA-SPI-544,PepsiCo,mass,Snacks,PepsiCo Snacks Spicy,Spicy,75g,12014,2021,False
PEP-SNA-ORI-688,PepsiCo,mass,Snacks,PepsiCo Snacks Original,Original,75g,11894,2023,False
LIF-PER-ANT-797,Lifebuoy,economy,Personal Care,Lifebuoy Personal Care Anti-Aging,Anti-Aging,250ml,14070,2024,False
LIF-PER-WHI-452,Lifebuoy,economy,Personal Care,Lifebuoy Personal Care Whitening,Whitening,200ml,5129,2024,False
LIF-PER-WHI-725,Lifebuoy,economy,Personal Care,Lifebuoy Personal Care Whitening,Whitening,300ml,7406,2023,False
LIF-PER-ANT-759,Lifebuoy,economy,Personal Care,Lifebuoy Personal Care Anti-Aging,Anti-Aging,250ml,8360,2022,False
NIV-BEA-SER-894,Nivea,premium,Beauty,Nivea Beauty Serum,Serum,150ml,37929,2020,True
NIV-BEA-DAY-499,Nivea,premium,Beauty,Nivea Beauty Day Cream,Day Cream,100ml,72520,2023,True
NIV-BEA-MOI-318,Nivea,premium,Beauty,Nivea Beauty Moisturizer,Moisturizer,100ml,31083,2022,False
NIV-BEA-MOI-875,Nivea,premium,Beauty,Nivea Beauty Moisturizer,Moisturizer,100ml,66660,2019,True
NIV-BEA-DAY-347,Nivea,premium,Beauty,Nivea Beauty Day Cream,Day Cream,100ml,44919,2023,False
MUS-BEA-DAY-365,Mustika Ratu,economy,Beauty,Mustika Ratu Beauty Day Cream,Day Cream,100ml,13314,2020,False
MUS-BEA-DAY-874,Mustika Ratu,economy,Beauty,Mustika Ratu Beauty Day Cream,Day Cream,30ml,7043,2021,False
NIV-BEA-MOI-564,Nivea,mass,Beauty,Nivea Beauty Moisturizer,Moisturizer,30ml,21107,2019,False
NIV-BEA-MOI-458,Nivea,mass,Beauty,Nivea Beauty Moisturizer,Moisturizer,50ml,19804,2020,False
NIV-BEA-MOI-831,Nivea,mass,Beauty,Nivea Beauty Moisturizer,Moisturizer,50ml,22375,2022,False
NIV-BEA-NIG-435,Nivea,mass,Beauty,Nivea Beauty Night Cream,Night Cream,30ml,26923,2022,False
AQU-BEV-LIG-200,Aqua,mass,Beverages,Aqua Beverages Light,Light,1L,14802,2023,False
AQU-BEV-EXT-183,Aqua,mass,Beverages,Aqua Beverages Extra,Extra,1L,13022,2018,False
AQU-BEV-EXT-587,Aqua,mass,Beverages,Aqua Beverages Extra,Extra,350ml,17038,2021,False
L'O-BEA-SER-702,L'Oréal,premium,Beauty,L'Oréal Beauty Serum,Serum,150ml,61632,2022,False
L'O-BEA-SER-751,L'Oréal,premium,Beauty,L'Oréal Beauty Serum,Serum,150ml,52749,2021,False
LUX-PER-SEN-617,Lux,mass,Personal Care,Lux Personal Care Sensitive,Sensitive,150ml,14165,2021,False
LUX-PER-ANT-821,Lux,mass,Personal Care,Lux Personal Care Anti-Aging,Anti-Aging,150ml,26816,2024,False
LUX-PER-NAT-811,Lux,mass,Personal Care,Lux Personal Care Natural,Natural,100ml,16967,2021,False
LUX-PER-ANT-864,Lux,mass,Personal Care,Lux Personal Care Anti-Aging,Anti-Aging,100ml,15139,2022,False
LUX-PER-WHI-716,Lux,mass,Personal Care,Lux Personal Care Whitening,Whitening,100ml,23389,2018,False
LIF-PER-WHI-396,Lifebuoy,mass,Personal Care,Lifebuoy Personal Care Whitening,Whitening,300ml,11319,2022,False
LIF-PER-SEN-480,Lifebuoy,mass,Personal Care,Lifebuoy Personal Care Sensitive,Sensitive,100ml,19991,2020,False
MAY-BEV-LIG-128,Mayora,economy,Beverages,Mayora Beverages Light,Light,1L,7340,2019,False
MAY-BEV-PRE-149,Mayora,economy,Beverages,Mayora Beverages Premium,Premium,1L,9999,2020,False
MAY-BEV-SUG-938,Mayora,economy,Beverages,Mayora Beverages Sugar-Free,Sugar-Free,350ml,13008,2018,False
MAY-BEV-ORI-457,Mayora,economy,Beverages,Mayora Beverages Original,Original,1.5L,6106,2024,False
YAK-HEA-PRE-686,Yakult,mass,Health Supplements,Yakult Health Supplements Premium,Premium,200g,20148,2022,False
YAK-HEA-PRE-900,Yakult,mass,Health Supplements,Yakult Health Supplements Premium,Premium,200g,22363,2021,False
TEH-BEV-SUG-751,Teh Botol Sosro,mass,Beverages,Teh Botol Sosro Beverages Sugar-Free,Sugar-Free,1.5L,25103,2024,False
TEH-BEV-EXT-252,Teh Botol Sosro,mass,Beverages,Teh Botol Sosro Beverages Extra,Extra,1L,20656,2018,False
TEH-BEV-PRE-519,Teh Botol Sosro,mass,Beverages,Teh Botol Sosro Beverages Premium,Premium,1.5L,22688,2019,False
UNI-PER-WHI-146,Unilever,mass,Personal Care,Unilever Personal Care Whitening,Whitening,300ml,24519,2023,False
UNI-PER-WHI-986,Unilever,mass,Personal Care,Unilever Personal Care Whitening,Whitening,100ml,15426,2023,False
UNI-PER-REG-745,Unilever,mass,Personal Care,Unilever Personal Care Regular,Regular,300ml,20120,2022,False
UNI-PER-REG-187,Unilever,mass,Personal Care,Unilever Personal Care Regular,Regular,300ml,16305,2022,False
UNI-PER-NAT-875,Unilever,mass,Personal Care,Unilever Personal Care Natural,Natural,300ml,11732,2022,False
JOH-BAB-PRE-119,Johnson & Johnson,premium,Baby Care,Johnson & Johnson Baby Care Premium,Premium,500ml,32882,2023,True
JOH-BAB-REG-905,Johnson & Johnson,premium,Baby Care,Johnson & Johnson Baby Care Regular,Regular,200g,38487,2019,False
JOH-BAB-REG-721,Johnson & Johnson,premium,Baby Care,Johnson & Johnson Baby Care Regular,Regular,500ml,45999,2021,True
KAL-HEA-REG-547,Kalbe,economy,Health Supplements,Kalbe Health Supplements Regular,Regular,200g,7957,2021,False
KAL-HEA-REG-424,Kalbe,economy,Health Supplements,Kalbe Health Supplements Regular,Regular,500ml,11258,2020,False
KAL-HEA-REG-201,Kalbe,economy,Health Supplements,Kalbe Health Supplements Regular,Regular,100g,13876,2019,False
KAL-HEA-PRE-287,Kalbe,economy,Health Supplements,Kalbe Health Supplements Premium,Premium,100g,9187,2024,False
KAL-HEA-REG-414,Kalbe,economy,Health Supplements,Kalbe Health Supplements Regular,Regular,100g,11672,2023,False
IND-SNA-ORI-433,Indofood,economy,Snacks,Indofood Snacks Original,Original,200g,7973,2018,False
IND-SNA-ORI-499,Indofood,economy,Snacks,Indofood Snacks Original,Original,100g,6617,2020,False
IND-SNA-BBQ-431,Indofood,economy,Snacks,Indofood Snacks BBQ,BBQ,150g,9225,2021,False
PEP-SNA-ORI-345,PepsiCo,premium,Snacks,PepsiCo Snacks Original,Original,75g,74291,2022,True
PEP-SNA-SPI-870,PepsiCo,premium,Snacks,PepsiCo Snacks Spicy,Spicy,200g,58057,2021,True
KAL-HEA-REG-575,Kalbe,premium,Health Supplements,Kalbe Health Supplements Regular,Regular,200g,61249,2021,True
KAL-HEA-PRE-517,Kalbe,premium,Health Supplements,Kalbe Health Supplements Premium,Premium,100g,66519,2019,True
KAL-HEA-PRE-700,Kalbe,premium,Health Supplements,Kalbe Health Supplements Premium,Premium,500ml,69243,2018,True
KAL-HEA-SPE-904,Kalbe,premium,Health Supplements,Kalbe Health Supplements Special,Special,500ml,33229,2020,False
DOV-PER-REG-308,Dove,economy,Personal Care,Dove Personal Care Regular,Regular,300ml,7332,2020,False
DOV-PER-NAT-900,Dove,economy,Personal Care,Dove Personal Care Natural,Natural,150ml,9016,2022,False
DOV-PER-ANT-562,Dove,economy,Personal Care,Dove Personal Care Anti-Aging,Anti-Aging,300ml,5684,2018,False
DOV-PER-ANT-396,Dove,economy,Personal Care,Dove Personal Care Anti-Aging,Anti-Aging,300ml,7742,2018,False
DOV-PER-REG-379,Dove,economy,Personal Care,Dove Personal Care Regular,Regular,250ml,14795,2020,False
COL-PER-WHI-699,Colgate,mass,Personal Care,Colgate Personal Care Whitening,Whitening,150ml,26722,2020,False
COL-PER-REG-856,Colgate,mass,Personal Care,Colgate Personal Care Regular,Regular,150ml,27501,2022,False
COL-PER-REG-191,Colgate,mass,Personal Care,Colgate Personal Care Regular,Regular,200ml,22953,2023,False
COL-PER-REG-842,Colgate,mass,Personal Care,Colgate Personal Care Regular,Regular,150ml,28234,2020,False
COL-PER-ANT-725,Colgate,mass,Personal Care,Colgate Personal Care Anti-Aging,Anti-Aging,150ml,26541,2024,False
IND-INS-BEE-870,Indofood,mass,Instant Noodles,Indofood Instant Noodles Beef,Beef,90g,24834,2020,False
IND-INS-CHI-449,Indofood,mass,Instant Noodles,Indofood Instant Noodles Chicken,Chicken,90g,16901,2021,False
IND-INS-SPI-116,Indofood,mass,Instant Noodles,Indofood Instant Noodles Spicy,Spicy,90g,14381,2023,False
IND-INS-ORI-104,Indofood,mass,Instant Noodles,Indofood Instant Noodles Original,Original,120g,10313,2023,False
