promo_id,headline,touchpoint,category,brand,brand_tier,sku,period,campaign_objective,budget_tier,budget_million_idr,duration_days,target_age_group,target_income_level,target_region,color_scheme,imagery_type,cta_style,tone,promo_type,kpi_lift,kpi_roi,ctr,conversion_rate,engagement_rate,roas,headline_length,description,description_length,kpi_lift_quartile,kpi_roi_quartile
PROMO074,CASHBACK SPECIAL - Terbatas!,digital,Health Supplements,Yakult,premium,YAK-HEA-402,2024-Q3,upselling,medium,1974,30,26-35,Middle,Jakarta,Green-Fresh,Animation,Authoritative,Fun,cashback,0.399,4.6,0.0249,0.231,0.195,4.3,28,Cashback campaign for Yakult Health Supplements targeting 26-35 demographic in Jakarta,86,Medium-High,Medium-High
PROMO075,KOMPETISI Kirim Video - Grand Prize!,in-store,Dairy,Ultra Milk,economy,ULT-DAI-240,2024-Q3,upselling,high,2052,30,18-25,Low,Surabaya,Black-Elegant,Minimalist,Urgent,Caring,contest,0.283,4.6,0.0822,0.123,0.13,3.8,36,Contest campaign for Ultra Milk Dairy targeting 18-25 demographic in Surabaya,77,Medium-Low,Medium-High
PROMO076,BONUS Sticker - Hemat Lebih!,digital,Personal Care,Unilever,premium,UNI-PER-914,2025-Q2,conversion,medium,1225,21,55+,Middle,Medan,Blue-Trust,Animation,Authoritative,Friendly,free_gift,0.676,7.3,0.0619,0.215,0.113,7.3,28,Free_Gift campaign for Unilever Personal Care targeting 55+ demographic in Medan,80,High,High
PROMO077,BUY 2 GET 2 FREE - Oral-B Personal Care!,outdoor,Personal Care,Oral-B,mass,ORA-PER-586,2024-Q3,acquisition,medium,1917,45,36-45,Low,Depok,Red-Bold,Lifestyle,Friendly,Caring,bogo,0.177,3.1,0.0098,0.025,0.051,3.3,40,Bogo campaign for Oral-B Personal Care targeting 36-45 demographic in Depok,75,Low,Low
PROMO078,SALE 40% OFF - Coca-Cola Beverages!,in-store,Beverages,Coca-Cola,economy,COC-BEV-719,2025-Q2,retention,high,2622,21,18-25,Upper-Middle,Jakarta,Red-Bold,Celebrity,Friendly,Caring,discount,0.22,3.0,0.0804,0.071,0.111,3.4,35,Discount campaign for Coca-Cola Beverages targeting 18-25 demographic in Jakarta,80,Medium-Low,Low
PROMO079,DAPAT CASHBACK Rp 10000 - Flash Sale!,digital,Personal Care,Oral-B,mass,ORA-PER-235,2025-Q1,acquisition,medium,1052,7,36-45,Low,Surabaya,Red-Bold,Family,Playful,Friendly,cashback,0.354,6.5,0.013,0.175,0.07,7.5,37,Cashback campaign for Oral-B Personal Care targeting 36-45 demographic in Surabaya,82,Medium-High,High
PROMO080,HEMAT 50% - Best Deal!,digital,Condiments,ABC,economy,ABC-CON-406,2025-Q1,awareness,low,191,30,36-45,Upper-Middle,Tangerang,Blue-Trust,Product-Focus,Friendly,Premium,discount,0.196,3.1,0.0116,0.071,0.187,3.1,22,Discount campaign for ABC Condiments targeting 36-45 demographic in Tangerang,77,Low,Low
PROMO081,SALE 30% OFF - Lifebuoy Personal Care!,digital,Personal Care,Lifebuoy,premium,LIF-PER-602,2025-Q1,acquisition,medium,1923,60,46-55,Upper-Middle,Bandung,Yellow-Energy,Family,Professional,Serious,discount,0.586,7.6,0.0652,0.158,0.26,8.9,38,Discount campaign for Lifebuoy Personal Care targeting 46-55 demographic in Bandung,83,High,High
PROMO082,BONUS Sample - Mega Hemat!,in-store,Home Care,P&G,mass,P&G-HOM-618,2025-Q2,retention,low,255,45,46-55,High,Surabaya,Yellow-Energy,Animation,Playful,Fun,free_gift,0.085,1.9,0.0612,0.109,0.113,2.0,26,Free_Gift campaign for P&G Home Care targeting 46-55 demographic in Surabaya,76,Low,Low
PROMO083,SALE 40% OFF - Pantene Personal Care!,tv,Personal Care,Pantene,mass,PAN-PER-218,2024-Q4,upselling,medium,1351,7,46-55,Middle,Makassar,Red-Bold,Celebrity,Urgent,Friendly,discount,0.268,4.4,0.0594,0.092,0.233,3.6,37,Discount campaign for Pantene Personal Care targeting 46-55 demographic in Makassar,83,Medium-Low,Medium-Low
PROMO084,SPECIAL 70% DISCOUNT - Flash Sale!,digital,Dairy,Ultra Milk,economy,ULT-DAI-755,2025-Q1,conversion,medium,877,14,55+,High,Tangerang,Blue-Trust,Festival,Playful,Serious,discount,0.473,5.7,0.0565,0.086,0.107,6.4,34,Discount campaign for Ultra Milk Dairy targeting 55+ demographic in Tangerang,77,High,High
PROMO085,MENANG Voucher 1 Juta - Kirim Video!,digital,Personal Care,Head & Shoulders,premium,HEA-PER-568,2025-Q1,acquisition,medium,1220,90,55+,High,Bekasi,Yellow-Energy,Animation,Urgent,Friendly,contest,0.604,6.0,0.1151,0.198,0.374,6.5,36,Contest campaign for Head & Shoulders Personal Care targeting 55+ demographic in Bekasi,87,High,High
PROMO086,SALE 30% OFF - Mustika Ratu Personal Care!,digital,Personal Care,Mustika Ratu,premium,MUS-PER-734,2024-Q4,upselling,low,481,30,26-35,Middle,Tangerang,Green-Fresh,Lifestyle,Friendly,Friendly,discount,0.302,4.4,0.094,0.165,0.074,3.6,42,Discount campaign for Mustika Ratu Personal Care targeting 26-35 demographic in Tangerang,89,Medium-High,Medium-Low
PROMO087,BONUS Tumbler - Mega Hemat!,flyer,Traditional Medicine,Sido Muncul,premium,SID-TRA-686,2024-Q4,acquisition,low,311,7,36-45,Middle,Tangerang,Orange-Warm,Minimalist,Playful,Fun,free_gift,0.271,4.3,0.0658,0.033,0.14,4.1,27,Free_Gift campaign for Sido Muncul Traditional Medicine targeting 36-45 demographic in Tangerang,96,Medium-Low,Medium-Low
PROMO088,CONTEST Foto Kreativ - Trip Bali!,flyer,Snacks,Chitato,premium,CHI-SNA-160,2024-Q3,retention,medium,923,90,36-45,High,Bandung,Orange-Warm,Lifestyle,Friendly,Caring,contest,0.255,3.4,0.0714,0.084,0.138,3.1,33,Contest campaign for Chitato Snacks targeting 36-45 demographic in Bandung,74,Medium-Low,Medium-Low
PROMO089,FREE Tas - Akhir Bulan!,digital,Snacks,Mondelez,premium,MON-SNA-627,2024-Q4,retention,premium,16101,30,26-35,Upper-Middle,Palembang,Yellow-Energy,Celebrity,Urgent,Serious,free_gift,0.254,7.7,0.12,0.25,0.4,7.9,23,Free_Gift campaign for Mondelez Snacks targeting 26-35 demographic in Palembang,79,Medium-Low,High
PROMO090,MENANG Trip Bali - Share Post!,flyer,Beverages,Coca-Cola,mass,COC-BEV-261,2025-Q1,retention,medium,754,90,18-25,Low,Surabaya,Purple-Premium,Festival,Playful,Exciting,contest,0.172,2.7,0.0556,0.042,0.112,2.3,30,Contest campaign for Coca-Cola Beverages targeting 18-25 demographic in Surabaya,80,Low,Low
PROMO091,CONTEST Story Instagram - Smartphone!,tv,Beauty,Dove,mass,DOV-BEA-331,2025-Q1,conversion,premium,18696,45,46-55,Low,Surabaya,Red-Bold,Lifestyle,Playful,Exciting,contest,0.8,8.0,0.0546,0.225,0.365,9.5,37,Contest campaign for Dove Beauty targeting 46-55 demographic in Surabaya,72,High,High
PROMO092,BUY 1 GET 1 FREE - Vaseline Personal Care!,digital,Personal Care,Vaseline,mass,VAS-PER-730,2024-Q3,awareness,premium,19920,30,18-25,Middle,Tangerang,Green-Fresh,Minimalist,Friendly,Serious,bogo,0.311,6.3,0.0836,0.217,0.277,7.2,42,Bogo campaign for Vaseline Personal Care targeting 18-25 demographic in Tangerang,81,Medium-High,High
PROMO093,DAPAT CASHBACK Rp 50000 - Weekend Special!,in-store,Personal Care,Dove,premium,DOV-PER-345,2025-Q1,conversion,high,9355,90,26-35,Middle,Palembang,Green-Fresh,Minimalist,Urgent,Caring,cashback,0.618,7.9,0.12,0.122,0.13,6.4,42,Cashback campaign for Dove Personal Care targeting 26-35 demographic in Palembang,81,High,High
PROMO094,HEMAT 40% - Mega Hemat!,flyer,Personal Care,Sunsilk,mass,SUN-PER-755,2025-Q2,upselling,low,255,7,46-55,Upper-Middle,Depok,Black-Elegant,Celebrity,Playful,Serious,discount,0.168,2.5,0.0379,0.031,0.049,2.0,23,Discount campaign for Sunsilk Personal Care targeting 46-55 demographic in Depok,80,Low,Low
PROMO095,BELI 2 DAPAT 1 - Jangan Terlewat!,radio,Dairy,Ultra Milk,mass,ULT-DAI-629,2025-Q2,upselling,premium,32721,45,18-25,Low,Bandung,Purple-Premium,Product-Focus,Friendly,Premium,bogo,0.273,5.1,0.0506,0.104,0.312,4.8,33,Bogo campaign for Ultra Milk Dairy targeting 18-25 demographic in Bandung,73,Medium-Low,Medium-High
PROMO096,DAPAT CASHBACK Rp 50000 - Limited Time!,digital,Beverages,Nestlé,mass,NES-BEV-472,2025-Q2,awareness,high,2376,30,26-35,Low,Jakarta,Black-Elegant,Festival,Urgent,Trustworthy,cashback,0.394,5.7,0.0589,0.157,0.347,6.8,39,Cashback campaign for Nestlé Beverages targeting 26-35 demographic in Jakarta,77,Medium-High,High
PROMO097,CONTEST Foto Kreativ - Hadiah Jutaan!,in-store,Personal Care,Nivea,premium,NIV-PER-435,2024-Q4,upselling,high,8920,21,18-25,High,Surabaya,Yellow-Energy,Festival,Professional,Caring,contest,0.291,7.4,0.0751,0.091,0.24,8.8,37,Contest campaign for Nivea Personal Care targeting 18-25 demographic in Surabaya,80,Medium-Low,High
PROMO098,GRATIS Tas - Pelanggan Setia!,digital,Beverages,ABC,mass,ABC-BEV-828,2024-Q4,retention,medium,622,14,36-45,Low,Medan,Orange-Warm,Lifestyle,Playful,Premium,free_gift,0.209,3.0,0.0652,0.061,0.078,2.5,29,Free_Gift campaign for ABC Beverages targeting 36-45 demographic in Medan,73,Low,Low
PROMO099,CASHBACK SPECIAL - Stok Terbatas!,flyer,Beverages,Coca-Cola,premium,COC-BEV-259,2025-Q1,upselling,medium,1697,7,36-45,High,Semarang,Blue-Trust,Product-Focus,Friendly,Trustworthy,cashback,0.176,3.2,0.0205,0.107,0.09,3.0,33,Cashback campaign for Coca-Cola Beverages targeting 36-45 demographic in Semarang,81,Low,Low
PROMO100,BUY 1 GET 1 FREE - Teh Botol Sosro Beverages!,digital,Beverages,Teh Botol Sosro,economy,TEH-BEV-131,2025-Q1,acquisition,low,469,14,36-45,High,Depok,Red-Bold,Minimalist,Professional,Friendly,bogo,0.33,3.4,0.0436,0.033,0.068,2.8,45,Bogo campaign for Teh Botol Sosro Beverages targeting 36-45 demographic in Depok,80,Medium-High,Medium-Low
PROMO101,BELI 1 GRATIS 2 - Super Value!,flyer,Personal Care,Oral-B,premium,ORA-PER-151,2025-Q1,awareness,medium,587,30,46-55,Middle,Surabaya,Black-Elegant,Festival,Professional,Exciting,bogo,0.191,3.0,0.0233,0.033,0.077,3.0,30,Bogo campaign for Oral-B Personal Care targeting 46-55 demographic in Surabaya,78,Low,Low
PROMO102,CASHBACK 40% - Super Value!,digital,Personal Care,Wardah,premium,WAR-PER-916,2024-Q3,acquisition,medium,908,60,46-55,Low,Surabaya,Green-Fresh,Celebrity,Friendly,Premium,cashback,0.454,6.6,0.0706,0.171,0.09,7.4,27,Cashback campaign for Wardah Personal Care targeting 46-55 demographic in Surabaya,82,High,High
PROMO103,FREE Tumbler - Flash Sale!,digital,Personal Care,Vaseline,premium,VAS-PER-910,2024-Q3,acquisition,high,6371,90,26-35,Middle,Surabaya,Blue-Trust,Minimalist,Friendly,Friendly,free_gift,0.762,7.4,0.12,0.25,0.126,6.8,26,Free_Gift campaign for Vaseline Personal Care targeting 26-35 demographic in Surabaya,85,High,High
PROMO104,BELI 2 GRATIS 1 - Best Deal!,outdoor,Health Supplements,Sido Muncul,economy,SID-HEA-233,2025-Q2,retention,premium,23203,90,26-35,Middle,Jakarta,Orange-Warm,Celebrity,Urgent,Friendly,bogo,0.186,2.6,0.0192,0.04,0.104,2.6,28,Bogo campaign for Sido Muncul Health Supplements targeting 26-35 demographic in Jakarta,87,Low,Low
PROMO105,MENANG Voucher 1 Juta - Kirim Video!,digital,Confectionery,Mars,economy,MAR-CON-934,2024-Q3,retention,low,390,45,36-45,Middle,Depok,Purple-Premium,Animation,Professional,Trustworthy,contest,0.148,2.0,0.0325,0.09,0.044,1.8,36,Contest campaign for Mars Confectionery targeting 36-45 demographic in Depok,76,Low,Low
PROMO106,KOMPETISI Share Post - Grand Prize!,digital,Personal Care,Mustika Ratu,economy,MUS-PER-362,2025-Q2,conversion,low,84,21,36-45,High,Jakarta,Green-Fresh,Lifestyle,Friendly,Serious,contest,0.318,4.4,0.0352,0.068,0.055,4.3,35,Contest campaign for Mustika Ratu Personal Care targeting 36-45 demographic in Jakarta,86,Medium-High,Medium-Low
PROMO107,DAPAT CASHBACK Rp 5000 - Limited Time!,flyer,Beverages,Teh Botol Sosro,economy,TEH-BEV-728,2025-Q1,acquisition,premium,32147,45,26-35,High,Bandung,Purple-Premium,Product-Focus,Authoritative,Exciting,cashback,0.342,3.8,0.0277,0.066,0.052,3.6,38,Cashback campaign for Teh Botol Sosro Beverages targeting 26-35 demographic in Bandung,86,Medium-High,Medium-Low
PROMO108,HEMAT 25% - Mega Hemat!,digital,Personal Care,Lifebuoy,premium,LIF-PER-304,2025-Q1,upselling,high,6916,30,18-25,High,Surabaya,Green-Fresh,Festival,Emotional,Serious,discount,0.369,6.8,0.0373,0.25,0.342,7.3,23,Discount campaign for Lifebuoy Personal Care targeting 18-25 demographic in Surabaya,84,Medium-High,High
PROMO109,DAPAT CASHBACK Rp 10000 - Limited Time!,digital,Beverages,Teh Botol Sosro,economy,TEH-BEV-452,2025-Q1,awareness,medium,675,60,36-45,Low,Bandung,Black-Elegant,Minimalist,Emotional,Exciting,cashback,0.296,3.1,0.0154,0.086,0.161,3.4,39,Cashback campaign for Teh Botol Sosro Beverages targeting 36-45 demographic in Bandung,86,Medium-High,Low
PROMO110,CASHBACK SPECIAL - Jangan Terlewat!,in-store,Personal Care,Pantene,mass,PAN-PER-306,2025-Q2,upselling,medium,1899,30,26-35,Middle,Medan,Blue-Trust,Product-Focus,Playful,Exciting,cashback,0.215,3.0,0.0299,0.067,0.179,3.1,35,Cashback campaign for Pantene Personal Care targeting 26-35 demographic in Medan,80,Low,Low
PROMO111,BUNDLE DEAL - Mega Hemat!,digital,Dairy,Ultra Milk,mass,ULT-DAI-276,2025-Q1,awareness,medium,1468,7,46-55,Upper-Middle,Palembang,Purple-Premium,Celebrity,Authoritative,Fun,bundle,0.265,4.8,0.0629,0.061,0.084,4.1,25,Bundle campaign for Ultra Milk Dairy targeting 46-55 demographic in Palembang,77,Medium-Low,Medium-High
PROMO112,MENANG Hadiah Jutaan - Kirim Video!,flyer,Beverages,Coca-Cola,mass,COC-BEV-552,2025-Q1,awareness,medium,682,14,46-55,Upper-Middle,Semarang,Purple-Premium,Celebrity,Authoritative,Serious,contest,0.159,2.2,0.0184,0.046,0.068,2.5,35,Contest campaign for Coca-Cola Beverages targeting 46-55 demographic in Semarang,80,Low,Low
PROMO113,GRATIS Tas - Pembelian Minimal!,flyer,Health Supplements,Yakult,premium,YAK-HEA-347,2025-Q1,upselling,high,7580,7,36-45,Upper-Middle,Tangerang,Orange-Warm,Celebrity,Emotional,Exciting,free_gift,0.219,5.0,0.0524,0.2,0.098,4.8,31,Free_Gift campaign for Yakult Health Supplements targeting 36-45 demographic in Tangerang,89,Medium-Low,Medium-High
PROMO114,BUY 1 GET 1 FREE - Colgate Personal Care!,digital,Personal Care,Colgate,premium,COL-PER-358,2024-Q4,acquisition,medium,517,14,18-25,Low,Tangerang,Blue-Trust,Minimalist,Friendly,Fun,bogo,0.692,8.0,0.1048,0.084,0.131,8.7,41,Bogo campaign for Colgate Personal Care targeting 18-25 demographic in Tangerang,80,High,High
PROMO115,COMBO SPECIAL - Lebih Hemat!,digital,Personal Care,Johnson & Johnson,mass,JOH-PER-776,2024-Q3,retention,medium,1728,30,36-45,Middle,Bandung,Orange-Warm,Festival,Friendly,Exciting,bundle,0.287,3.4,0.06,0.068,0.245,3.0,28,Bundle campaign for Johnson & Johnson Personal Care targeting 36-45 demographic in Bandung,90,Medium-Low,Medium-Low
PROMO116,CASHBACK SPECIAL - Hari Ini Saja!,digital,Beauty,L'Oréal,mass,L'O-BEA-992,2025-Q1,retention,low,164,60,55+,Middle,Makassar,Purple-Premium,Product-Focus,Friendly,Friendly,cashback,0.143,2.5,0.0437,0.049,0.07,2.6,33,Cashback campaign for L'Oréal Beauty targeting 55+ demographic in Makassar,74,Low,Low
PROMO117,SPECIAL 10% DISCOUNT - Weekend Special!,digital,Personal Care,Johnson & Johnson,mass,JOH-PER-440,2024-Q3,retention,low,91,30,46-55,Middle,Makassar,Black-Elegant,Minimalist,Friendly,Caring,discount,0.138,2.8,0.02,0.079,0.15,2.3,39,Discount campaign for Johnson & Johnson Personal Care targeting 46-55 demographic in Makassar,93,Low,Low
PROMO118,BELI 2 DAPAT 2 - Jangan Terlewat!,flyer,Personal Care,Mustika Ratu,mass,MUS-PER-810,2025-Q2,acquisition,low,177,14,36-45,Middle,Jakarta,Purple-Premium,Product-Focus,Emotional,Serious,bogo,0.203,2.4,0.0092,0.095,0.073,2.7,33,Bogo campaign for Mustika Ratu Personal Care targeting 36-45 demographic in Jakarta,83,Low,Low
PROMO119,HEMAT 30% - Best Deal!,digital,Snacks,Mondelez,mass,MON-SNA-911,2025-Q2,upselling,medium,1956,60,26-35,Low,Bekasi,Orange-Warm,Lifestyle,Urgent,Friendly,discount,0.226,4.8,0.0759,0.117,0.173,4.6,22,Discount campaign for Mondelez Snacks targeting 26-35 demographic in Bekasi,75,Medium-Low,Medium-High
PROMO120,GRATIS Voucher - Member Khusus!,in-store,Dairy,Kalbe,premium,KAL-DAI-720,2024-Q3,retention,high,4211,45,18-25,Upper-Middle,Palembang,Purple-Premium,Product-Focus,Emotional,Fun,free_gift,0.257,5.7,0.1152,0.246,0.127,6.3,31,Free_Gift campaign for Kalbe Dairy targeting 18-25 demographic in Palembang,75,Medium-Low,High
PROMO121,PAKET HEMAT - Indomie + Extra Size!,in-store,Instant Noodles,Indomie,premium,IND-INS-605,2024-Q4,awareness,medium,1675,60,36-45,Middle,Jakarta,Red-Bold,Minimalist,Urgent,Exciting,bundle,0.439,3.6,0.0191,0.151,0.214,4.1,35,Bundle campaign for Indomie Instant Noodles targeting 36-45 demographic in Jakarta,82,High,Medium-Low
PROMO122,COMBO SPECIAL - Lebih Hemat!,digital,Dairy,Ultra Milk,premium,ULT-DAI-466,2025-Q2,awareness,high,3396,21,18-25,Low,Jakarta,Black-Elegant,Lifestyle,Emotional,Serious,bundle,0.361,7.5,0.0489,0.084,0.168,8.4,28,Bundle campaign for Ultra Milk Dairy targeting 18-25 demographic in Jakarta,75,Medium-High,High
PROMO123,SPECIAL 50% DISCOUNT - Limited Time!,digital,Beauty,Dove,economy,DOV-BEA-467,2024-Q4,awareness,medium,1277,90,55+,High,Bekasi,Purple-Premium,Celebrity,Friendly,Fun,discount,0.272,3.2,0.0337,0.129,0.123,3.6,36,Discount campaign for Dove Beauty targeting 55+ demographic in Bekasi,69,Medium-Low,Low
PROMO124,DAPAT CASHBACK Rp 50000 - Flash Sale!,in-store,Confectionery,Mayora,premium,MAY-CON-758,2025-Q1,conversion,medium,611,7,46-55,Upper-Middle,Palembang,Blue-Trust,Festival,Authoritative,Fun,cashback,0.431,5.4,0.0551,0.077,0.259,5.4,37,Cashback campaign for Mayora Confectionery targeting 46-55 demographic in Palembang,83,High,Medium-High
PROMO125,BUY 2 GET 1 FREE - Wardah Personal Care!,in-store,Personal Care,Wardah,premium,WAR-PER-945,2025-Q2,conversion,low,331,7,46-55,Low,Surabaya,Yellow-Energy,Celebrity,Urgent,Fun,bogo,0.28,5.9,0.0383,0.094,0.241,6.2,40,Bogo campaign for Wardah Personal Care targeting 46-55 demographic in Surabaya,78,Medium-Low,High
PROMO126,BUNDLE DEAL - Mega Hemat!,in-store,Beverages,ABC,premium,ABC-BEV-860,2024-Q3,upselling,low,470,60,36-45,Upper-Middle,Surabaya,Red-Bold,Lifestyle,Playful,Trustworthy,bundle,0.174,4.6,0.0561,0.066,0.081,5.1,25,Bundle campaign for ABC Beverages targeting 36-45 demographic in Surabaya,73,Low,Medium-High
PROMO127,BUY 1 GET 1 FREE - Pantene Personal Care!,flyer,Personal Care,Pantene,premium,PAN-PER-848,2025-Q2,conversion,low,346,14,55+,High,Bekasi,Yellow-Energy,Animation,Friendly,Serious,bogo,0.321,3.8,0.0604,0.102,0.067,3.5,41,Bogo campaign for Pantene Personal Care targeting 55+ demographic in Bekasi,75,Medium-High,Medium-Low
PROMO128,BONUS Sticker - Mega Hemat!,digital,Instant Noodles,Indomie,economy,IND-INS-788,2025-Q1,upselling,high,7624,21,55+,Middle,Medan,Blue-Trust,Animation,Emotional,Friendly,free_gift,0.234,5.1,0.0154,0.117,0.253,5.8,27,Free_Gift campaign for Indomie Instant Noodles targeting 55+ demographic in Medan,81,Medium-Low,Medium-High
PROMO129,BONUS Tumbler - Mega Hemat!,in-store,Instant Noodles,Indomie,economy,IND-INS-563,2025-Q1,awareness,high,4938,90,26-35,Low,Semarang,Blue-Trust,Festival,Authoritative,Exciting,free_gift,0.227,3.9,0.0185,0.135,0.079,3.7,27,Free_Gift campaign for Indomie Instant Noodles targeting 26-35 demographic in Semarang,86,Medium-Low,Medium-Low
PROMO130,CONTEST Story Instagram - Trip Bali!,in-store,Beverages,Teh Botol Sosro,premium,TEH-BEV-277,2024-Q3,upselling,medium,652,14,36-45,Middle,Medan,Green-Fresh,Celebrity,Friendly,Serious,contest,0.35,4.0,0.0339,0.148,0.252,4.2,36,Contest campaign for Teh Botol Sosro Beverages targeting 36-45 demographic in Medan,83,Medium-High,Medium-Low
PROMO131,FREE Sticker - Weekend Special!,digital,Personal Care,Clear,mass,CLE-PER-525,2025-Q1,retention,medium,1534,14,18-25,Upper-Middle,Depok,Blue-Trust,Lifestyle,Authoritative,Exciting,free_gift,0.245,3.4,0.0332,0.078,0.104,3.9,31,Free_Gift campaign for Clear Personal Care targeting 18-25 demographic in Depok,79,Medium-Low,Medium-Low
PROMO132,BONUS Tas - Hemat Lebih!,digital,Personal Care,Oral-B,premium,ORA-PER-598,2024-Q4,retention,medium,1541,30,36-45,Upper-Middle,Jakarta,Orange-Warm,Festival,Professional,Fun,free_gift,0.293,4.1,0.0661,0.223,0.126,4.2,24,Free_Gift campaign for Oral-B Personal Care targeting 36-45 demographic in Jakarta,82,Medium-High,Medium-Low
PROMO133,SALE 10% OFF - Kalbe Dairy!,digital,Dairy,Kalbe,premium,KAL-DAI-941,2025-Q1,conversion,medium,644,45,18-25,Low,Surabaya,Red-Bold,Lifestyle,Professional,Fun,discount,0.549,7.5,0.0176,0.208,0.369,7.7,27,Discount campaign for Kalbe Dairy targeting 18-25 demographic in Surabaya,73,High,High
PROMO134,MENANG Voucher 1 Juta - Share Post!,digital,Home Care,Unilever,mass,UNI-HOM-749,2025-Q2,acquisition,medium,1617,21,46-55,Middle,Depok,Blue-Trust,Lifestyle,Emotional,Premium,contest,0.467,6.4,0.0714,0.048,0.198,6.7,35,Contest campaign for Unilever Home Care targeting 46-55 demographic in Depok,76,High,High
PROMO135,DISKON 10% - Jangan Terlewat!,in-store,Dairy,Ultra Milk,economy,ULT-DAI-174,2025-Q1,awareness,medium,1820,45,18-25,Middle,Bekasi,Black-Elegant,Product-Focus,Authoritative,Premium,discount,0.188,2.9,0.0603,0.112,0.112,2.4,29,Discount campaign for Ultra Milk Dairy targeting 18-25 demographic in Bekasi,76,Low,Low
PROMO136,BELI 1 DAPAT 2 - Stok Terbatas!,digital,Beverages,PepsiCo,premium,PEP-BEV-857,2024-Q4,upselling,medium,953,60,36-45,High,Bandung,Red-Bold,Family,Friendly,Caring,bogo,0.464,6.6,0.0292,0.218,0.349,6.6,31,Bogo campaign for PepsiCo Beverages targeting 36-45 demographic in Bandung,74,High,High
PROMO137,DAPAT CASHBACK Rp 5000 - Limited Time!,digital,Personal Care,Head & Shoulders,economy,HEA-PER-514,2024-Q3,conversion,medium,1691,45,18-25,Low,Jakarta,Black-Elegant,Animation,Emotional,Exciting,cashback,0.362,4.0,0.0133,0.061,0.202,3.2,38,Cashback campaign for Head & Shoulders Personal Care targeting 18-25 demographic in Jakarta,91,Medium-High,Medium-Low
PROMO138,BONUS Sticker - Mega Hemat!,digital,Dairy,Yakult,economy,YAK-DAI-164,2025-Q2,conversion,medium,1498,14,55+,Middle,Tangerang,Green-Fresh,Product-Focus,Friendly,Caring,free_gift,0.288,4.0,0.0457,0.134,0.114,3.8,27,Free_Gift campaign for Yakult Dairy targeting 55+ demographic in Tangerang,74,Medium-Low,Medium-Low
PROMO139,DAPAT CASHBACK Rp 50000 - Akhir Bulan!,digital,Confectionery,Nestlé,premium,NES-CON-911,2024-Q3,upselling,premium,32612,30,18-25,Upper-Middle,Palembang,Blue-Trust,Animation,Playful,Friendly,cashback,0.61,8.0,0.0602,0.184,0.183,7.3,38,Cashback campaign for Nestlé Confectionery targeting 18-25 demographic in Palembang,83,High,High
PROMO140,CONTEST Story Instagram - Voucher 1 Juta!,digital,Personal Care,Lifebuoy,premium,LIF-PER-264,2024-Q4,acquisition,low,343,45,26-35,Middle,Palembang,Red-Bold,Lifestyle,Urgent,Trustworthy,contest,0.436,5.4,0.0924,0.084,0.207,5.7,41,Contest campaign for Lifebuoy Personal Care targeting 26-35 demographic in Palembang,84,High,Medium-High
PROMO141,BELI 1 DAPAT 2 - Stok Terbatas!,digital,Instant Noodles,Indomie,premium,IND-INS-170,2024-Q3,conversion,low,355,45,55+,Upper-Middle,Bandung,Purple-Premium,Minimalist,Professional,Premium,bogo,0.255,6.2,0.028,0.181,0.1,6.0,31,Bogo campaign for Indomie Instant Noodles targeting 55+ demographic in Bandung,78,Medium-Low,High
PROMO142,BONUS Tumbler - Hemat Lebih!,flyer,Home Care,Unilever,premium,UNI-HOM-921,2025-Q3,awareness,low,269,14,46-55,High,Makassar,Black-Elegant,Product-Focus,Emotional,Fun,free_gift,0.139,3.3,0.0376,0.081,0.053,3.7,28,Free_Gift campaign for Unilever Home Care targeting 46-55 demographic in Makassar,81,Low,Medium-Low
PROMO143,BELI 1 GRATIS 1 - Best Deal!,in-store,Personal Care,Lifebuoy,premium,LIF-PER-648,2024-Q4,acquisition,low,183,90,36-45,Low,Bandung,Yellow-Energy,Minimalist,Authoritative,Friendly,bogo,0.304,5.5,0.0253,0.047,0.06,5.4,28,Bogo campaign for Lifebuoy Personal Care targeting 36-45 demographic in Bandung,79,Medium-High,Medium-High
PROMO144,CASHBACK 40% - Best Deal!,flyer,Personal Care,Head & Shoulders,mass,HEA-PER-498,2024-Q4,conversion,medium,606,14,46-55,Upper-Middle,Depok,Orange-Warm,Minimalist,Emotional,Serious,cashback,0.296,2.6,0.0514,0.063,0.124,2.5,25,Cashback campaign for Head & Shoulders Personal Care targeting 46-55 demographic in Depok,89,Medium-High,Low
PROMO145,HEMAT 25% - Hemat Lebih!,digital,Detergent,Wings,premium,WIN-DET-902,2024-Q4,acquisition,premium,22762,7,46-55,Low,Medan,Black-Elegant,Minimalist,Authoritative,Friendly,discount,0.773,8.0,0.0488,0.102,0.4,10.0,24,Discount campaign for Wings Detergent targeting 46-55 demographic in Medan,74,High,High
PROMO146,BELI 2 GRATIS 1 - Best Deal!,digital,Personal Care,Clear,premium,CLE-PER-618,2025-Q1,retention,low,139,30,55+,Middle,Tangerang,Yellow-Energy,Animation,Urgent,Friendly,bogo,0.195,3.0,0.0687,0.091,0.069,2.6,28,Bogo campaign for Clear Personal Care targeting 55+ demographic in Tangerang,76,Low,Low
